,ci_rsfes,ci_rsf,ci_cox,ci_gbm,ci_rotsf,,ibs_rsfes,ibs_rsf,ibs_cox,ibs_gbm,ibs_rotsf
80,0.753753754,0.762762763,0.726726727,0.720720721,0.693693694,,0.008855163,0.009837278,0.010937845,0.009639327,0.009352431
81,0.700325733,0.729641694,0.628664495,0.654723127,0.697068404,,0.006092351,0.007415405,0.008418305,0.010479549,0.00668347
82,0.679878049,0.68597561,0.618902439,0.617737003,0.682926829,,0.009285767,0.011798479,0.015239871,0.010021897,0.010615063
83,0.74695122,0.774390244,0.710365854,0.762195122,0.759146341,,0.008122333,0.011547848,0.009737895,0.008093481,0.00808981
84,0.787790698,0.784883721,0.735465116,0.776162791,0.787790698,,0.011771966,0.017039817,0.013449359,0.012053623,0.013290946
85,0.720720721,0.687687688,0.648648649,0.680722892,0.696696697,,0.006879584,0.009412945,0.01002277,0.011235332,0.00822331
86,0.681818182,0.648484848,0.636363636,0.63030303,0.651515152,,0.011418926,0.013164194,0.020725854,0.006467577,0.012622957
87,0.666666667,0.622807018,0.678362573,0.669590643,0.640350877,,0.010473243,0.013952199,0.011374547,0.007346546,0.011320895
88,0.792569659,0.72755418,0.718266254,0.752321981,0.770897833,,0.007694484,0.010183237,0.008453831,0.00760069,0.008557784
89,0.787301587,0.73968254,0.746031746,0.752380952,0.780952381,,0.006965661,0.009610175,0.01086491,0.006638107,0.007758181
90,0.650943396,0.676100629,0.619496855,0.615141956,0.672955975,,0.009697836,0.012429207,0.01432644,0.010903419,0.010181171
91,0.714705882,0.723529412,0.676470588,0.673529412,0.735294118,,0.011581178,0.014809931,0.017263314,0.01459285,0.01209585
92,0.679245283,0.720125786,0.635220126,0.663522013,0.713836478,,0.008522778,0.011290004,0.011521127,0.007493087,0.008853091
93,0.585526316,0.575657895,0.634868421,0.575657895,0.5625,,0.010608448,0.013393191,0.012735776,0.00999653,0.013197427
94,0.702064897,0.619469027,0.725663717,0.637168142,0.702064897,,0.006977792,0.009174393,0.006400371,0.009650253,0.007503858
95,0.759530792,0.765395894,0.739002933,0.785923754,0.739002933,,0.007731186,0.010738834,0.009297262,0.005862088,0.008675391
96,0.624183007,0.64379085,0.614379085,0.611111111,0.633986928,,0.011248439,0.016994325,0.0110147,0.009910094,0.01367702
97,0.734006734,0.727272727,0.693602694,0.71043771,0.713804714,,0.007859251,0.010228741,0.008882871,0.009315463,0.008464458
98,0.74,0.74,0.714285714,0.74,0.745714286,,0.007450812,0.009054075,0.012538593,0.007065168,0.008104874
99,0.744744745,0.705705706,0.702702703,0.714714715,0.753753754,,0.008888585,0.010022066,0.010940217,0.005464112,0.010978662
100,0.68852459,0.632786885,0.662295082,0.654605263,0.718032787,,0.008395377,0.011115096,0.009749921,0.006274012,0.010337301
101,0.646153846,0.621538462,0.673846154,0.648148148,0.673846154,,0.009466674,0.011558132,0.011340953,0.009700962,0.011198948
102,0.779503106,0.819875776,0.729813665,0.717391304,0.779503106,,0.006363298,0.007029728,0.010163912,0.008281177,0.006143906
103,0.688271605,0.669753086,0.663580247,0.641975309,0.666666667,,0.008771885,0.012272218,0.009830736,0.009388901,0.010442607
104,0.655270655,0.623931624,0.666666667,0.638176638,0.658119658,,0.010496056,0.015380218,0.011591838,0.007327231,0.013408155
105,0.693215339,0.690265487,0.699115044,0.693215339,0.690265487,,0.007114055,0.009064896,0.007361066,0.008499606,0.007785842
106,0.634920635,0.695238095,0.603174603,0.630573248,0.711111111,,0.006798167,0.008203022,0.00912322,0.007707477,0.00664738
107,0.858044164,0.85488959,0.810725552,0.810725552,0.864353312,,0.006580747,0.00799132,0.008265118,0.007855519,0.006245565
108,0.696485623,0.680511182,0.626198083,0.619808307,0.686900958,,0.009109484,0.011390268,0.010349111,0.011832271,0.01000313
109,0.738095238,0.69047619,0.75,0.74702381,0.723214286,,0.007631326,0.009613869,0.009341623,0.007474555,0.008677809
110,0.709375,0.68125,0.678125,0.675,0.6625,,0.007795132,0.014175785,0.009398585,0.007709504,0.012868015
111,0.796296296,0.768518519,0.740740741,0.75308642,0.793209877,,0.005965635,0.007930899,0.006681146,0.008891614,0.005859529
112,0.737891738,0.737891738,0.695156695,0.720797721,0.700854701,,0.00582672,0.007557883,0.006742693,0.008805522,0.006130423
113,0.755882353,0.717647059,0.767647059,0.761764706,0.782352941,,0.008613123,0.010995991,0.01027313,0.005889533,0.009393031
114,0.757188498,0.725239617,0.709265176,0.734824281,0.712460064,,0.007089378,0.009616519,0.009665945,0.007196923,0.008147878
115,0.686900958,0.584664537,0.686900958,0.680511182,0.686900958,,0.009734931,0.011626537,0.011300648,0.006924895,0.009612457
116,0.743283582,0.758208955,0.776119403,0.71641791,0.737313433,,0.006054686,0.008470804,0.007343583,0.007365258,0.006789898
117,0.69375,0.7,0.7,0.689655172,0.7125,,0.00836088,0.010520627,0.011378168,0.008116129,0.008600689
118,0.756097561,0.756097561,0.759146341,0.74695122,0.75304878,,0.005998727,0.00689228,0.007755556,0.006179452,0.005843947
119,0.581871345,0.616959064,0.66374269,0.619883041,0.64619883,,0.009349472,0.011628536,0.010768346,0.007162299,0.009922603
120,0.740298507,0.785074627,0.692537313,0.695522388,0.743283582,,0.006637341,0.008137873,0.01032612,0.006836477,0.006631561
121,0.766666667,0.745454545,0.775757576,0.796969697,0.781818182,,0.008098697,0.01240665,0.010809278,0.004998497,0.008603308
122,0.708206687,0.680851064,0.696048632,0.683890578,0.693009119,,0.006923182,0.009139987,0.008219838,0.009820088,0.007230754
123,0.771875,0.7875,0.759375,0.775,0.75,,0.006145596,0.009445591,0.006249292,0.008703869,0.008714897
124,0.706896552,0.681034483,0.675287356,0.689655172,0.712643678,,0.009087687,0.009665133,0.010309428,0.007692219,0.008719276
125,0.788343558,0.788343558,0.754601227,0.76993865,0.809815951,,0.006841854,0.00853864,0.009357188,0.007381253,0.007025137
126,0.648208469,0.592833876,0.67752443,0.664495114,0.654723127,,0.010156449,0.013429284,0.011504368,0.007879723,0.010261843
127,0.720930233,0.688953488,0.703488372,0.694767442,0.723837209,,0.010383181,0.013960321,0.012524384,0.00772323,0.011976253
128,0.662857143,0.665714286,0.62,0.667621777,0.688571429,,0.007966459,0.009296754,0.00976344,0.010959774,0.008205685
129,0.796969697,0.806060606,0.727272727,0.775757576,0.803030303,,0.013452294,0.015846286,0.015657254,0.012357068,0.013384365
130,0.650887574,0.612426036,0.579881657,0.686390533,0.686390533,,0.007329297,0.011123901,0.011270584,0.007528745,0.008173304
