,ci_rsfes,ci_rsfl,ci_rsfls,ci_coxlasso,ci_coxridge,,ibs_rsfes,ibs_rsfl,ibs_rsfls,ibs_coxlasso,ibs_coxridge
79,0.655726496,0.665299145,0.564444444,NA,0.612649573,,0.153593178,0.159153614,0.173584721,NA,0.170932286
80,0.557634731,0.503368263,0.555389222,0.497005988,0.5625,,0.157754067,0.176365607,0.160115029,0.207442073,0.182371846
81,0.645595855,0.624870466,0.666321244,0.490846287,0.625561313,,0.15071381,0.165357534,0.173294226,0.181197293,0.167528151
82,0.585086748,0.547803618,0.535991141,0.568106312,0.603543743,,0.157280828,0.178550211,0.157003727,0.193209263,0.186869313
83,0.627935723,0.537288834,0.531108364,0.506798517,0.650185414,,0.148285433,0.172754625,0.152145853,0.172640731,0.156843121
84,0.639240506,0.621835443,0.625632911,NA,0.680063291,,0.163076494,0.176909376,0.189473978,NA,0.161959283
85,0.618258724,0.589002467,0.582305252,NA,0.627070849,,0.163881708,0.175036081,0.174850043,NA,0.177940023
86,0.650977552,0.59051412,0.577842143,0.602099928,0.63070239,,0.139488444,0.163539173,0.154737345,0.164882881,0.161047914
87,0.616210599,0.581918947,0.568756495,NA,0.614825078,,0.166027073,0.179925684,0.179034332,NA,0.176467884
88,0.587196468,0.543782193,0.552980132,0.506622517,0.582413539,,0.145007488,0.165797729,0.159736422,0.17152275,0.170899417
89,0.649371576,0.549468257,0.577183371,NA,NA,,0.175991761,0.177972209,0.183679208,NA,NA
90,0.602667745,0.551738076,0.550929669,0.538399353,0.602263541,,0.139459022,0.165014566,0.152156956,0.172839425,0.162123323
91,0.647099687,0.566516151,0.539423411,NA,0.656825287,,0.152778248,0.173211209,0.173843558,NA,0.168559786
92,0.634361233,0.575624082,0.604258443,0.625183554,0.648678414,,0.147623548,0.165345629,0.156281615,0.17100601,0.160803788
93,0.569974555,0.600508906,0.577244638,0.540167212,0.584151218,,0.162970371,0.165611095,0.168683951,0.185401228,0.186225735
94,0.568977591,0.503151261,0.556372549,0.534313725,0.592436975,,0.150417424,0.175381501,0.164942214,0.177963206,0.173703879
95,0.669349195,0.599370189,0.646256123,0.579776067,0.694191742,,0.157719444,0.157929811,0.157965083,0.174683768,0.163330107
96,0.634573304,0.604668125,0.558716265,0.607585704,0.657549234,,0.138928456,0.168917103,0.165083368,0.173828505,0.162452824
97,0.585305546,0.520664076,0.562698693,0.525609325,0.581419993,,0.15207885,0.174104439,0.162769995,0.185764053,0.173941819
98,0.648970748,0.561574576,0.572408812,0.497291441,0.628024558,,0.143184854,0.171283711,0.168179072,0.177803877,0.165776795
99,0.61918929,0.63555225,0.555596876,0.568984753,0.647452585,,0.155903168,0.158418423,0.155104181,0.176541199,0.15952633
100,0.623626374,0.545673077,0.591002747,NA,0.664148352,,0.154893038,0.183781967,0.183171477,NA,0.160234395
1,0.549634723,0.524709927,0.533304684,NA,0.58831113,,0.209326524,0.152406081,0.157252276,NA,0.182621017
